Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen,Cuentas_Diarias
No,67,One year,No,No internet service,20.55,Electronic check,No,0,0.685
No,20,Two year,DSL,Yes,39.4,Credit card (automatic),Yes,0,1.3133333333333332
No,43,Two year,No,No internet service,25.1,Electronic check,Yes,0,0.8366666666666667
No,55,Month-to-month,Fiber optic,No,89.8,Bank transfer (automatic),Yes,0,2.993333333333333
No,59,Month-to-month,Fiber optic,No,94.75,Electronic check,Yes,0,3.158333333333333
No,12,Two year,No,No internet service,20.3,Bank transfer (automatic),No,0,0.6766666666666666
No,27,Month-to-month,Fiber optic,No,75.75,Bank transfer (automatic),Yes,0,2.525
Yes,2,Month-to-month,DSL,No,49.25,Electronic check,Yes,1,1.6416666666666666
No,27,One year,DSL,Yes,78.2,Mailed check,No,0,2.606666666666667
No,25,Two year,No,No internet service,25.5,Credit card (automatic),No,0,0.85
No,25,One year,DSL,No,61.6,Bank transfer (automatic),Yes,0,2.0533333333333332
No,29,Month-to-month,DSL,Yes,45.0,Mailed check,Yes,0,1.5
No,72,Two year,DSL,Yes,85.15,Bank transfer (automatic),Yes,0,2.8383333333333334
No,14,One year,DSL,No,51.45,Credit card (automatic),No,0,1.715
No,35,One year,Fiber optic,Yes,99.25,Electronic check,Yes,0,3.308333333333333
No,1,Month-to-month,DSL,No,44.3,Mailed check,Yes,0,1.4766666666666666
No,29,Month-to-month,Fiber optic,Yes,94.2,Electronic check,Yes,0,3.14
No,64,One year,DSL,Yes,81.25,Electronic check,No,0,2.7083333333333335
No,39,Month-to-month,Fiber optic,Yes,99.95,Credit card (automatic),Yes,0,3.3316666666666666
No,40,Month-to-month,Fiber optic,No,91.55,Electronic check,Yes,1,3.0516666666666667
Yes,40,Month-to-month,Fiber optic,No,104.5,Credit card (automatic),Yes,0,3.4833333333333334
Yes,11,Month-to-month,Fiber optic,No,95.0,Electronic check,Yes,1,3.1666666666666665
No,6,Month-to-month,DSL,No,50.35,Electronic check,No,0,1.6783333333333335
No,30,Month-to-month,DSL,No,64.5,Mailed check,Yes,0,2.15
No,27,Month-to-month,No,No internet service,19.4,Electronic check,Yes,0,0.6466666666666666
No,70,One year,Fiber optic,No,104.8,Electronic check,Yes,1,3.493333333333333
No,57,One year,Fiber optic,Yes,109.4,Bank transfer (automatic),Yes,0,3.646666666666667
No,58,One year,DSL,No,50.3,Credit card (automatic),No,0,1.6766666666666665
No,16,Month-to-month,DSL,No,71.4,Bank transfer (automatic),Yes,0,2.3800000000000003
No,69,Two year,Fiber optic,Yes,116.0,Electronic check,Yes,0,3.8666666666666667
Yes,1,Month-to-month,No,No internet service,19.85,Electronic check,Yes,0,0.6616666666666667
Yes,1,Month-to-month,Fiber optic,No,99.75,Electronic check,Yes,0,3.325
No,32,Month-to-month,Fiber optic,No,93.95,Mailed check,Yes,1,3.131666666666667
No,16,Month-to-month,Fiber optic,No,90.8,Bank transfer (automatic),Yes,0,3.0266666666666664
Yes,49,One year,DSL,Yes,84.35,Electronic check,No,0,2.8116666666666665
No,71,Two year,DSL,Yes,58.25,Bank transfer (automatic),No,0,1.9416666666666667
No,33,Month-to-month,Fiber optic,No,107.55,Electronic check,No,0,3.585
No,10,Month-to-month,No,No internet service,19.95,Bank transfer (automatic),Yes,0,0.6649999999999999
Yes,21,Month-to-month,Fiber optic,Yes,111.2,Electronic check,Yes,0,3.7066666666666666
Yes,37,Month-to-month,DSL,No,40.2,Bank transfer (automatic),No,0,1.34
No,26,Month-to-month,Fiber optic,No,85.8,Credit card (automatic),Yes,1,2.86
No,50,One year,DSL,Yes,35.4,Mailed check,Yes,0,1.18
Yes,7,Month-to-month,Fiber optic,No,73.85,Electronic check,Yes,0,2.4616666666666664
No,61,Two year,DSL,Yes,88.1,Mailed check,No,0,2.9366666666666665
Yes,15,Month-to-month,Fiber optic,Yes,101.35,Electronic check,Yes,0,3.378333333333333
No,26,Month-to-month,DSL,Yes,45.8,Mailed check,No,0,1.5266666666666666
No,72,Month-to-month,Fiber optic,No,94.65,Electronic check,Yes,0,3.1550000000000002
No,44,One year,No,No internet service,20.5,Bank transfer (automatic),Yes,0,0.6833333333333333
No,66,Month-to-month,Fiber optic,No,89.4,Credit card (automatic),No,0,2.98
Yes,2,Month-to-month,Fiber optic,Yes,86.25,Electronic check,Yes,0,2.875
No,44,One year,DSL,Yes,74.85,Bank transfer (automatic),No,1,2.4949999999999997
Yes,12,Month-to-month,Fiber optic,No,89.75,Bank transfer (automatic),Yes,0,2.9916666666666667
No,69,Two year,Fiber optic,Yes,109.95,Electronic check,Yes,1,3.665
Yes,1,Month-to-month,Fiber optic,No,80.2,Mailed check,Yes,0,2.6733333333333333
Yes,3,Month-to-month,No,No internet service,19.85,Mailed check,No,0,0.6616666666666667
No,2,Month-to-month,Fiber optic,No,90.35,Electronic check,No,0,3.0116666666666663
No,27,Month-to-month,Fiber optic,No,86.45,Bank transfer (automatic),Yes,1,2.881666666666667
No,26,Month-to-month,No,No internet service,20.3,Electronic check,Yes,0,0.6766666666666666
No,39,Month-to-month,Fiber optic,Yes,101.25,Electronic check,Yes,1,3.375
Yes,25,Month-to-month,Fiber optic,No,94.7,Bank transfer (automatic),Yes,0,3.1566666666666667
Yes,1,Month-to-month,Fiber optic,No,70.9,Mailed check,No,0,2.3633333333333337
Yes,22,Month-to-month,DSL,Yes,54.2,Electronic check,Yes,0,1.8066666666666669
No,72,Two year,Fiber optic,Yes,114.9,Electronic check,Yes,0,3.83
No,24,Two year,No,No internet service,19.55,Bank transfer (automatic),Yes,0,0.6516666666666667
No,19,Month-to-month,Fiber optic,No,86.85,Electronic check,Yes,0,2.895
No,71,Two year,No,No internet service,25.35,Credit card (automatic),No,0,0.8450000000000001
No,33,Month-to-month,Fiber optic,Yes,109.9,Bank transfer (automatic),Yes,1,3.6633333333333336
No,3,Month-to-month,No,No internet service,19.95,Mailed check,No,0,0.6649999999999999
No,47,Month-to-month,Fiber optic,No,87.2,Electronic check,No,0,2.9066666666666667
No,62,Two year,Fiber optic,Yes,108.15,Mailed check,No,0,3.605
No,71,One year,Fiber optic,Yes,116.3,Bank transfer (automatic),Yes,0,3.8766666666666665
No,7,Month-to-month,Fiber optic,No,89.0,Electronic check,Yes,1,2.966666666666667
No,27,Month-to-month,Fiber optic,No,74.4,Mailed check,No,0,2.48
No,2,Month-to-month,No,No internet service,20.05,Mailed check,No,0,0.6683333333333333
No,25,Two year,DSL,Yes,35.05,Bank transfer (automatic),No,0,1.1683333333333332
No,30,Month-to-month,DSL,No,74.75,Electronic check,Yes,1,2.4916666666666667
Yes,58,One year,Fiber optic,Yes,105.5,Credit card (automatic),Yes,1,3.5166666666666666
Yes,10,Month-to-month,Fiber optic,No,85.25,Electronic check,Yes,0,2.841666666666667
No,9,Month-to-month,Fiber optic,No,75.2,Credit card (automatic),Yes,0,2.506666666666667
Yes,6,Month-to-month,Fiber optic,No,84.35,Electronic check,Yes,1,2.8116666666666665
No,69,One year,Fiber optic,No,84.45,Bank transfer (automatic),No,0,2.815
No,66,Two year,Fiber optic,No,102.4,Bank transfer (automatic),Yes,1,3.4133333333333336
Yes,70,One year,Fiber optic,Yes,115.55,Credit card (automatic),No,0,3.8516666666666666
Yes,25,One year,No,No internet service,25.3,Bank transfer (automatic),No,0,0.8433333333333334
No,46,Two year,No,No internet service,19.25,Mailed check,Yes,0,0.6416666666666667
No,54,One year,Fiber optic,Yes,114.65,Mailed check,Yes,0,3.8216666666666668
Yes,15,Month-to-month,Fiber optic,Yes,105.1,Electronic check,No,0,3.503333333333333
No,12,Month-to-month,No,No internet service,19.4,Bank transfer (automatic),No,0,0.6466666666666666
No,22,Month-to-month,DSL,No,50.35,Electronic check,Yes,0,1.6783333333333335
No,70,Two year,DSL,Yes,57.8,Bank transfer (automatic),No,0,1.9266666666666665
No,30,Month-to-month,Fiber optic,No,84.3,Credit card (automatic),Yes,0,2.81
No,71,One year,Fiber optic,No,100.55,Bank transfer (automatic),No,0,3.3516666666666666
No,30,One year,No,No internet service,19.8,Credit card (automatic),No,0,0.66
Yes,4,Month-to-month,Fiber optic,No,84.8,Bank transfer (automatic),Yes,0,2.8266666666666667
Yes,2,Month-to-month,Fiber optic,No,85.85,Electronic check,Yes,0,2.8616666666666664
No,10,One year,No,No internet service,19.95,Bank transfer (automatic),Yes,0,0.6649999999999999
No,4,Month-to-month,Fiber optic,No,75.35,Electronic check,No,1,2.5116666666666663
No,52,Month-to-month,DSL,No,48.8,Credit card (automatic),Yes,1,1.6266666666666665
Yes,5,Month-to-month,DSL,No,47.15,Electronic check,No,0,1.5716666666666665
No,8,Two year,No,No internet service,20.15,Mailed check,No,0,0.6716666666666666
No,2,Month-to-month,DSL,No,44.3,Electronic check,Yes,1,1.4766666666666666
No,3,Month-to-month,Fiber optic,No,84.3,Electronic check,No,0,2.81
No,19,Month-to-month,DSL,Yes,59.55,Electronic check,No,0,1.9849999999999999
No,72,Two year,DSL,Yes,69.65,Bank transfer (automatic),No,0,2.3216666666666668
No,63,One year,DSL,Yes,36.1,Bank transfer (automatic),No,1,1.2033333333333334
No,66,Two year,DSL,Yes,56.6,Bank transfer (automatic),Yes,0,1.8866666666666667
Yes,1,Month-to-month,Fiber optic,Yes,75.9,Electronic check,Yes,0,2.5300000000000002
No,60,One year,Fiber optic,No,79.2,Bank transfer (automatic),Yes,0,2.64
No,48,One year,DSL,No,45.0,Credit card (automatic),No,0,1.5
Yes,1,Month-to-month,Fiber optic,No,85.55,Credit card (automatic),Yes,0,2.8516666666666666
Yes,15,Month-to-month,Fiber optic,No,93.35,Electronic check,Yes,0,3.1116666666666664
No,50,Month-to-month,Fiber optic,Yes,109.65,Bank transfer (automatic),Yes,0,3.6550000000000002
No,72,Two year,DSL,Yes,89.7,Credit card (automatic),No,0,2.99
No,46,Month-to-month,Fiber optic,No,84.25,Mailed check,No,0,2.808333333333333
No,72,Two year,DSL,Yes,92.65,Bank transfer (automatic),No,0,3.0883333333333334
No,1,Month-to-month,No,No internet service,19.7,Mailed check,No,0,0.6566666666666666
No,1,Month-to-month,DSL,No,50.1,Electronic check,Yes,0,1.6700000000000002
No,67,Two year,Fiber optic,Yes,92.45,Bank transfer (automatic),Yes,1,3.0816666666666666
No,48,Two year,DSL,Yes,79.65,Electronic check,No,0,2.6550000000000002
No,72,Two year,Fiber optic,Yes,109.9,Electronic check,Yes,0,3.6633333333333336
No,52,One year,DSL,Yes,81.4,Credit card (automatic),Yes,0,2.7133333333333334
No,67,One year,DSL,No,50.55,Credit card (automatic),No,0,1.6849999999999998
Yes,28,Month-to-month,Fiber optic,No,81.05,Electronic check,Yes,0,2.7016666666666667
No,32,Month-to-month,DSL,No,62.45,Bank transfer (automatic),No,0,2.0816666666666666
Yes,27,Month-to-month,Fiber optic,No,75.2,Bank transfer (automatic),Yes,1,2.506666666666667
No,3,Month-to-month,Fiber optic,No,90.4,Electronic check,No,0,3.0133333333333336
Yes,2,Month-to-month,Fiber optic,No,85.65,Electronic check,Yes,0,2.855
Yes,9,Month-to-month,DSL,Yes,72.9,Mailed check,Yes,0,2.43
No,50,Two year,DSL,Yes,70.5,Credit card (automatic),Yes,0,2.35
No,71,Two year,No,No internet service,20.1,Bank transfer (automatic),No,0,0.67
Yes,32,Month-to-month,Fiber optic,No,74.9,Electronic check,Yes,1,2.496666666666667
No,16,Month-to-month,Fiber optic,No,100.7,Bank transfer (automatic),No,0,3.356666666666667
No,67,Two year,Fiber optic,Yes,105.65,Bank transfer (automatic),Yes,0,3.521666666666667
No,72,Two year,Fiber optic,Yes,114.3,Credit card (automatic),Yes,0,3.81
Yes,3,Month-to-month,No,No internet service,19.75,Electronic check,No,0,0.6583333333333333
No,23,One year,No,No internet service,24.35,Mailed check,No,0,0.8116666666666668
No,72,Two year,DSL,Yes,69.85,Bank transfer (automatic),No,0,2.328333333333333
No,7,Month-to-month,DSL,No,58.85,Mailed check,No,0,1.9616666666666667
No,8,Month-to-month,DSL,No,54.4,Electronic check,Yes,0,1.8133333333333332
No,66,Two year,DSL,Yes,50.55,Bank transfer (automatic),No,0,1.6849999999999998
Yes,5,Month-to-month,No,No internet service,21.05,Mailed check,No,0,0.7016666666666667
Yes,49,Month-to-month,Fiber optic,No,103.7,Bank transfer (automatic),Yes,0,3.4566666666666666
No,63,Two year,No,No internet service,19.95,Bank transfer (automatic),Yes,0,0.6649999999999999
No,12,Month-to-month,DSL,Yes,29.3,Mailed check,Yes,1,0.9766666666666667
No,27,Month-to-month,DSL,No,54.75,Credit card (automatic),Yes,0,1.825
No,35,Month-to-month,DSL,No,60.55,Electronic check,No,0,2.018333333333333
No,54,Month-to-month,DSL,Yes,86.2,Electronic check,Yes,0,2.8733333333333335
Yes,1,Month-to-month,Fiber optic,No,95.45,Electronic check,Yes,0,3.1816666666666666
No,5,Month-to-month,DSL,Yes,63.95,Credit card (automatic),Yes,0,2.131666666666667
No,19,One year,DSL,Yes,65.35,Bank transfer (automatic),Yes,0,2.1783333333333332
No,52,Two year,DSL,Yes,50.2,Mailed check,No,0,1.6733333333333333
No,72,Two year,DSL,Yes,63.8,Bank transfer (automatic),Yes,0,2.1266666666666665
No,32,Two year,No,No internet service,20.05,Bank transfer (automatic),Yes,0,0.6683333333333333
Yes,8,Month-to-month,Fiber optic,No,101.15,Electronic check,No,0,3.371666666666667
No,41,One year,DSL,No,65.0,Mailed check,No,0,2.1666666666666665
No,5,Month-to-month,No,No internet service,19.25,Mailed check,Yes,0,0.6416666666666667
No,11,One year,DSL,Yes,36.05,Mailed check,Yes,0,1.2016666666666667
Yes,5,Month-to-month,Fiber optic,Yes,96.1,Electronic check,Yes,0,3.203333333333333
No,16,One year,No,No internet service,19.05,Mailed check,No,0,0.635
No,71,One year,Fiber optic,Yes,105.75,Bank transfer (automatic),No,1,3.525
No,11,One year,DSL,Yes,40.4,Credit card (automatic),Yes,0,1.3466666666666667
Yes,61,Month-to-month,Fiber optic,No,99.15,Electronic check,Yes,0,3.305
No,71,One year,DSL,Yes,84.8,Bank transfer (automatic),Yes,0,2.8266666666666667
No,9,Month-to-month,No,No internet service,19.85,Mailed check,No,0,0.6616666666666667
No,6,Month-to-month,DSL,No,49.45,Electronic check,Yes,0,1.6483333333333334
Yes,26,Month-to-month,Fiber optic,No,88.8,Bank transfer (automatic),Yes,0,2.96
No,6,Month-to-month,DSL,No,55.15,Mailed check,No,0,1.8383333333333334
No,11,Month-to-month,Fiber optic,No,84.8,Electronic check,No,0,2.8266666666666667
Yes,1,Month-to-month,Fiber optic,No,80.55,Electronic check,Yes,0,2.685
No,49,Two year,No,No internet service,20.15,Bank transfer (automatic),Yes,0,0.6716666666666666
No,3,Month-to-month,DSL,No,58.7,Credit card (automatic),Yes,0,1.9566666666666668
No,53,Two year,Fiber optic,Yes,99.5,Mailed check,No,0,3.316666666666667
Yes,23,Month-to-month,Fiber optic,Yes,99.85,Electronic check,Yes,0,3.328333333333333
Yes,2,Month-to-month,DSL,No,45.35,Electronic check,No,0,1.5116666666666667
Yes,1,Month-to-month,DSL,No,48.55,Mailed check,Yes,0,1.6183333333333332
No,3,Two year,No,No internet service,26.4,Mailed check,Yes,0,0.88
Yes,68,Month-to-month,Fiber optic,No,100.2,Electronic check,Yes,1,3.3400000000000003
Yes,8,Month-to-month,Fiber optic,No,94.7,Electronic check,Yes,0,3.1566666666666667
No,70,One year,Fiber optic,No,97.65,Electronic check,Yes,0,3.2550000000000003
No,39,One year,Fiber optic,No,100.0,Electronic check,No,0,3.3333333333333335
Yes,1,Month-to-month,Fiber optic,No,70.1,Electronic check,Yes,0,2.3366666666666664
Yes,3,Month-to-month,Fiber optic,Yes,97.9,Electronic check,Yes,0,3.2633333333333336
No,60,One year,Fiber optic,No,102.5,Bank transfer (automatic),No,0,3.4166666666666665
Yes,5,Month-to-month,Fiber optic,No,69.95,Electronic check,No,0,2.3316666666666666
Yes,3,Month-to-month,Fiber optic,No,81.35,Electronic check,Yes,1,2.7116666666666664
No,55,One year,DSL,Yes,66.05,Credit card (automatic),Yes,0,2.2016666666666667
No,72,Two year,DSL,Yes,61.2,Credit card (automatic),Yes,0,2.04
No,72,Two year,DSL,Yes,74.4,Bank transfer (automatic),No,1,2.48
Yes,41,Month-to-month,Fiber optic,No,106.3,Electronic check,Yes,0,3.5433333333333334
No,60,Two year,DSL,No,39.6,Bank transfer (automatic),No,0,1.32
Yes,6,Month-to-month,Fiber optic,No,89.3,Electronic check,No,0,2.9766666666666666
No,46,Two year,Fiber optic,Yes,108.9,Credit card (automatic),Yes,0,3.6300000000000003
No,15,Month-to-month,No,No internet service,19.9,Mailed check,No,0,0.6633333333333333
Yes,58,Month-to-month,Fiber optic,Yes,102.1,Credit card (automatic),Yes,0,3.4033333333333333
No,23,Two year,No,No internet service,19.6,Credit card (automatic),No,0,0.6533333333333334
Yes,31,Month-to-month,Fiber optic,Yes,98.9,Electronic check,Yes,1,3.296666666666667
No,11,Month-to-month,DSL,No,45.9,Bank transfer (automatic),Yes,0,1.53
No,56,Two year,Fiber optic,Yes,99.9,Bank transfer (automatic),Yes,1,3.33
No,25,Month-to-month,No,No internet service,20.05,Credit card (automatic),No,0,0.6683333333333333
No,68,Two year,DSL,Yes,64.35,Credit card (automatic),No,0,2.145
No,40,Two year,No,No internet service,19.65,Credit card (automatic),No,0,0.6549999999999999
Yes,36,Month-to-month,Fiber optic,No,84.9,Electronic check,Yes,0,2.83
Yes,32,Month-to-month,Fiber optic,Yes,108.15,Credit card (automatic),Yes,0,3.605
No,71,Two year,DSL,Yes,86.85,Bank transfer (automatic),No,0,2.895
No,17,Month-to-month,Fiber optic,No,102.55,Electronic check,Yes,0,3.4183333333333334
No,18,Month-to-month,Fiber optic,Yes,78.2,Electronic check,No,0,2.606666666666667
No,37,Month-to-month,Fiber optic,No,91.2,Bank transfer (automatic),No,0,3.04
No,2,Month-to-month,No,No internet service,19.35,Mailed check,No,0,0.645
No,28,One year,Fiber optic,No,70.4,Bank transfer (automatic),Yes,0,2.3466666666666667
No,9,One year,DSL,No,39.55,Mailed check,No,0,1.3183333333333331
No,1,Month-to-month,DSL,No,50.15,Electronic check,No,0,1.6716666666666666
No,65,Two year,No,No internet service,20.4,Credit card (automatic),Yes,0,0.6799999999999999
No,3,Month-to-month,DSL,No,44.6,Electronic check,No,0,1.4866666666666668
Yes,1,Month-to-month,DSL,No,34.7,Electronic check,Yes,0,1.1566666666666667
No,36,Month-to-month,Fiber optic,No,93.6,Electronic check,Yes,0,3.1199999999999997
Yes,23,Month-to-month,Fiber optic,Yes,90.6,Electronic check,Yes,0,3.02
No,22,Month-to-month,DSL,Yes,57.95,Mailed check,Yes,0,1.9316666666666669
No,72,Two year,Fiber optic,Yes,112.1,Credit card (automatic),No,0,3.7366666666666664
Yes,17,Month-to-month,Fiber optic,No,88.25,Electronic check,No,0,2.941666666666667
Yes,3,Month-to-month,Fiber optic,Yes,85.8,Electronic check,No,0,2.86
Yes,58,One year,DSL,No,60.3,Credit card (automatic),No,0,2.01
No,67,Two year,DSL,No,81.35,Credit card (automatic),No,0,2.7116666666666664
No,34,One year,Fiber optic,No,99.85,Electronic check,Yes,1,3.328333333333333
No,10,Month-to-month,No,No internet service,20.0,Credit card (automatic),No,0,0.6666666666666666
No,69,Two year,DSL,Yes,85.35,Credit card (automatic),Yes,0,2.8449999999999998
No,40,One year,DSL,No,62.05,Credit card (automatic),No,0,2.0683333333333334
No,20,Month-to-month,DSL,No,64.4,Credit card (automatic),No,0,2.146666666666667
No,46,Two year,No,No internet service,19.4,Mailed check,No,0,0.6466666666666666
Yes,2,Month-to-month,Fiber optic,No,74.4,Electronic check,Yes,0,2.48
Yes,1,Month-to-month,Fiber optic,No,70.45,Mailed check,Yes,1,2.3483333333333336
No,72,Two year,Fiber optic,No,105.0,Credit card (automatic),Yes,0,3.5
No,70,Two year,No,No internet service,25.15,Credit card (automatic),No,0,0.8383333333333333
No,2,Month-to-month,No,No internet service,19.3,Mailed check,No,0,0.6433333333333333
No,23,Month-to-month,DSL,Yes,55.3,Bank transfer (automatic),Yes,0,1.8433333333333333
No,36,Month-to-month,Fiber optic,No,95.4,Electronic check,Yes,0,3.18
Yes,59,Month-to-month,Fiber optic,No,93.85,Bank transfer (automatic),Yes,1,3.128333333333333
No,67,Two year,No,No internet service,20.5,Bank transfer (automatic),No,0,0.6833333333333333
No,72,Two year,Fiber optic,No,105.55,Bank transfer (automatic),Yes,0,3.518333333333333
Yes,37,Month-to-month,Fiber optic,No,101.9,Bank transfer (automatic),Yes,0,3.396666666666667
No,72,Two year,No,No internet service,24.45,Bank transfer (automatic),No,0,0.815
No,72,Two year,No,No internet service,19.7,Credit card (automatic),No,0,0.6566666666666666
Yes,3,Month-to-month,Fiber optic,No,74.4,Electronic check,Yes,0,2.48
Yes,54,One year,Fiber optic,No,101.5,Credit card (automatic),Yes,1,3.3833333333333333
Yes,60,Month-to-month,Fiber optic,No,95.75,Electronic check,Yes,0,3.191666666666667
No,58,One year,Fiber optic,No,110.65,Credit card (automatic),Yes,0,3.6883333333333335
No,31,Month-to-month,Fiber optic,No,83.85,Bank transfer (automatic),Yes,0,2.795
No,3,Month-to-month,DSL,No,60.25,Electronic check,Yes,0,2.0083333333333333
No,55,Two year,DSL,Yes,59.2,Electronic check,Yes,0,1.9733333333333334
Yes,1,Month-to-month,DSL,No,44.4,Mailed check,No,0,1.48
No,49,Month-to-month,Fiber optic,No,85.3,Credit card (automatic),Yes,0,2.8433333333333333
Yes,8,Month-to-month,DSL,No,25.5,Mailed check,No,0,0.85
No,39,Month-to-month,Fiber optic,No,99.75,Electronic check,Yes,1,3.325
No,66,Two year,DSL,No,66.1,Credit card (automatic),Yes,0,2.203333333333333
No,15,One year,No,No internet service,20.55,Mailed check,No,0,0.685
No,51,One year,Fiber optic,No,98.85,Electronic check,Yes,0,3.295
No,9,Month-to-month,DSL,Yes,49.2,Mailed check,No,1,1.6400000000000001
Yes,1,Month-to-month,No,No internet service,20.9,Mailed check,No,0,0.6966666666666667
No,25,One year,No,No internet service,19.5,Bank transfer (automatic),Yes,0,0.65
No,22,Month-to-month,Fiber optic,No,87.0,Bank transfer (automatic),Yes,0,2.9
No,15,Month-to-month,DSL,No,49.0,Electronic check,Yes,0,1.6333333333333333
Yes,28,One year,Fiber optic,No,90.1,Bank transfer (automatic),Yes,0,3.003333333333333
No,3,Month-to-month,Fiber optic,No,90.7,Mailed check,No,0,3.0233333333333334
No,47,Month-to-month,Fiber optic,No,100.5,Electronic check,Yes,0,3.35
No,67,Two year,DSL,Yes,85.25,Mailed check,Yes,0,2.841666666666667
No,18,Month-to-month,Fiber optic,No,74.7,Electronic check,Yes,1,2.49
No,62,Two year,DSL,Yes,60.15,Credit card (automatic),Yes,0,2.005
No,41,One year,DSL,No,80.55,Electronic check,Yes,0,2.685
No,44,Month-to-month,DSL,No,50.15,Mailed check,Yes,0,1.6716666666666666
No,53,One year,Fiber optic,Yes,94.45,Credit card (automatic),Yes,0,3.1483333333333334
No,48,Two year,No,No internet service,20.05,Mailed check,Yes,0,0.6683333333333333
No,54,One year,Fiber optic,Yes,115.6,Bank transfer (automatic),Yes,1,3.853333333333333
Yes,48,Month-to-month,DSL,No,45.3,Bank transfer (automatic),Yes,0,1.51
No,24,Month-to-month,Fiber optic,No,99.65,Bank transfer (automatic),Yes,0,3.3216666666666668
No,33,Two year,Fiber optic,Yes,80.6,Bank transfer (automatic),No,0,2.6866666666666665
No,66,Two year,DSL,Yes,85.25,Electronic check,No,0,2.841666666666667
No,3,Month-to-month,Fiber optic,No,69.55,Electronic check,Yes,0,2.3183333333333334
No,13,Two year,DSL,Yes,35.4,Mailed check,No,0,1.18
No,63,Two year,DSL,No,83.5,Credit card (automatic),No,0,2.783333333333333
Yes,23,Month-to-month,Fiber optic,Yes,83.8,Electronic check,No,0,2.7933333333333334
No,52,Two year,No,No internet service,25.6,Credit card (automatic),No,0,0.8533333333333334
No,3,Month-to-month,No,No internet service,20.75,Credit card (automatic),Yes,0,0.6916666666666667
No,10,Month-to-month,DSL,No,56.75,Bank transfer (automatic),Yes,0,1.8916666666666666
No,72,Two year,No,No internet service,20.1,Bank transfer (automatic),No,0,0.67
No,29,Month-to-month,Fiber optic,Yes,98.8,Credit card (automatic),Yes,0,3.2933333333333334
No,62,One year,Fiber optic,No,104.85,Electronic check,Yes,1,3.4949999999999997
Yes,41,One year,DSL,No,73.0,Electronic check,Yes,0,2.433333333333333
Yes,43,Month-to-month,Fiber optic,No,77.85,Electronic check,Yes,0,2.5949999999999998
No,26,Two year,Fiber optic,Yes,105.45,Electronic check,Yes,0,3.515
