Churn,customer_tenure,account_Contract,internet_InternetService,internet_TechSupport,account_Charges_Monthly,account_PaymentMethod,account_PaperlessBilling,customer_SeniorCitizen
No,25,One year,DSL,No,61.6,Bank transfer (automatic),Yes,0
No,29,Month-to-month,DSL,Yes,45.0,Mailed check,Yes,0
No,72,Two year,DSL,Yes,85.15,Bank transfer (automatic),Yes,0
No,14,One year,DSL,No,51.45,Credit card (automatic),No,0
No,35,One year,Fiber optic,Yes,99.25,Electronic check,Yes,0
No,1,Month-to-month,DSL,No,44.3,Mailed check,Yes,0
No,29,Month-to-month,Fiber optic,Yes,94.2,Electronic check,Yes,0
No,64,One year,DSL,Yes,81.25,Electronic check,No,0
No,39,Month-to-month,Fiber optic,Yes,99.95,Credit card (automatic),Yes,0
No,40,Month-to-month,Fiber optic,No,91.55,Electronic check,Yes,1
Yes,40,Month-to-month,Fiber optic,No,104.5,Credit card (automatic),Yes,0
Yes,11,Month-to-month,Fiber optic,No,95.0,Electronic check,Yes,1
No,6,Month-to-month,DSL,No,50.35,Electronic check,No,0
No,30,Month-to-month,DSL,No,64.5,Mailed check,Yes,0
No,27,Month-to-month,No,No internet service,19.4,Electronic check,Yes,0
No,70,One year,Fiber optic,No,104.8,Electronic check,Yes,1
No,57,One year,Fiber optic,Yes,109.4,Bank transfer (automatic),Yes,0
No,58,One year,DSL,No,50.3,Credit card (automatic),No,0
No,16,Month-to-month,DSL,No,71.4,Bank transfer (automatic),Yes,0
No,69,Two year,Fiber optic,Yes,116.0,Electronic check,Yes,0
Yes,1,Month-to-month,No,No internet service,19.85,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,99.75,Electronic check,Yes,0
No,32,Month-to-month,Fiber optic,No,93.95,Mailed check,Yes,1
No,16,Month-to-month,Fiber optic,No,90.8,Bank transfer (automatic),Yes,0
Yes,49,One year,DSL,Yes,84.35,Electronic check,No,0
No,71,Two year,DSL,Yes,58.25,Bank transfer (automatic),No,0
No,33,Month-to-month,Fiber optic,No,107.55,Electronic check,No,0
No,10,Month-to-month,No,No internet service,19.95,Bank transfer (automatic),Yes,0
Yes,21,Month-to-month,Fiber optic,Yes,111.2,Electronic check,Yes,0
Yes,37,Month-to-month,DSL,No,40.2,Bank transfer (automatic),No,0
No,26,Month-to-month,Fiber optic,No,85.8,Credit card (automatic),Yes,1
No,50,One year,DSL,Yes,35.4,Mailed check,Yes,0
Yes,7,Month-to-month,Fiber optic,No,73.85,Electronic check,Yes,0
No,61,Two year,DSL,Yes,88.1,Mailed check,No,0
Yes,15,Month-to-month,Fiber optic,Yes,101.35,Electronic check,Yes,0
No,26,Month-to-month,DSL,Yes,45.8,Mailed check,No,0
No,72,Month-to-month,Fiber optic,No,94.65,Electronic check,Yes,0
No,44,One year,No,No internet service,20.5,Bank transfer (automatic),Yes,0
No,66,Month-to-month,Fiber optic,No,89.4,Credit card (automatic),No,0
Yes,2,Month-to-month,Fiber optic,Yes,86.25,Electronic check,Yes,0
No,44,One year,DSL,Yes,74.85,Bank transfer (automatic),No,1
Yes,12,Month-to-month,Fiber optic,No,89.75,Bank transfer (automatic),Yes,0
No,69,Two year,Fiber optic,Yes,109.95,Electronic check,Yes,1
Yes,1,Month-to-month,Fiber optic,No,80.2,Mailed check,Yes,0
Yes,3,Month-to-month,No,No internet service,19.85,Mailed check,No,0
No,2,Month-to-month,Fiber optic,No,90.35,Electronic check,No,0
No,27,Month-to-month,Fiber optic,No,86.45,Bank transfer (automatic),Yes,1
No,26,Month-to-month,No,No internet service,20.3,Electronic check,Yes,0
No,39,Month-to-month,Fiber optic,Yes,101.25,Electronic check,Yes,1
Yes,25,Month-to-month,Fiber optic,No,94.7,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,70.9,Mailed check,No,0
Yes,22,Month-to-month,DSL,Yes,54.2,Electronic check,Yes,0
No,72,Two year,Fiber optic,Yes,114.9,Electronic check,Yes,0
No,24,Two year,No,No internet service,19.55,Bank transfer (automatic),Yes,0
No,19,Month-to-month,Fiber optic,No,86.85,Electronic check,Yes,0
No,71,Two year,No,No internet service,25.35,Credit card (automatic),No,0
No,33,Month-to-month,Fiber optic,Yes,109.9,Bank transfer (automatic),Yes,1
No,3,Month-to-month,No,No internet service,19.95,Mailed check,No,0
No,47,Month-to-month,Fiber optic,No,87.2,Electronic check,No,0
No,62,Two year,Fiber optic,Yes,108.15,Mailed check,No,0
No,71,One year,Fiber optic,Yes,116.3,Bank transfer (automatic),Yes,0
No,7,Month-to-month,Fiber optic,No,89.0,Electronic check,Yes,1
No,27,Month-to-month,Fiber optic,No,74.4,Mailed check,No,0
No,2,Month-to-month,No,No internet service,20.05,Mailed check,No,0
No,25,Two year,DSL,Yes,35.05,Bank transfer (automatic),No,0
No,30,Month-to-month,DSL,No,74.75,Electronic check,Yes,1
Yes,58,One year,Fiber optic,Yes,105.5,Credit card (automatic),Yes,1
Yes,10,Month-to-month,Fiber optic,No,85.25,Electronic check,Yes,0
No,9,Month-to-month,Fiber optic,No,75.2,Credit card (automatic),Yes,0
Yes,6,Month-to-month,Fiber optic,No,84.35,Electronic check,Yes,1
No,69,One year,Fiber optic,No,84.45,Bank transfer (automatic),No,0
No,66,Two year,Fiber optic,No,102.4,Bank transfer (automatic),Yes,1
Yes,70,One year,Fiber optic,Yes,115.55,Credit card (automatic),No,0
Yes,25,One year,No,No internet service,25.3,Bank transfer (automatic),No,0
No,46,Two year,No,No internet service,19.25,Mailed check,Yes,0
No,54,One year,Fiber optic,Yes,114.65,Mailed check,Yes,0
Yes,15,Month-to-month,Fiber optic,Yes,105.1,Electronic check,No,0
No,12,Month-to-month,No,No internet service,19.4,Bank transfer (automatic),No,0
No,22,Month-to-month,DSL,No,50.35,Electronic check,Yes,0
No,70,Two year,DSL,Yes,57.8,Bank transfer (automatic),No,0
No,30,Month-to-month,Fiber optic,No,84.3,Credit card (automatic),Yes,0
No,71,One year,Fiber optic,No,100.55,Bank transfer (automatic),No,0
No,30,One year,No,No internet service,19.8,Credit card (automatic),No,0
Yes,4,Month-to-month,Fiber optic,No,84.8,Bank transfer (automatic),Yes,0
Yes,2,Month-to-month,Fiber optic,No,85.85,Electronic check,Yes,0
No,10,One year,No,No internet service,19.95,Bank transfer (automatic),Yes,0
No,4,Month-to-month,Fiber optic,No,75.35,Electronic check,No,1
No,52,Month-to-month,DSL,No,48.8,Credit card (automatic),Yes,1
Yes,5,Month-to-month,DSL,No,47.15,Electronic check,No,0
No,8,Two year,No,No internet service,20.15,Mailed check,No,0
No,2,Month-to-month,DSL,No,44.3,Electronic check,Yes,1
No,3,Month-to-month,Fiber optic,No,84.3,Electronic check,No,0
No,19,Month-to-month,DSL,Yes,59.55,Electronic check,No,0
No,72,Two year,DSL,Yes,69.65,Bank transfer (automatic),No,0
No,63,One year,DSL,Yes,36.1,Bank transfer (automatic),No,1
No,66,Two year,DSL,Yes,56.6,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,Yes,75.9,Electronic check,Yes,0
No,60,One year,Fiber optic,No,79.2,Bank transfer (automatic),Yes,0
No,48,One year,DSL,No,45.0,Credit card (automatic),No,0
Yes,1,Month-to-month,Fiber optic,No,85.55,Credit card (automatic),Yes,0
Yes,15,Month-to-month,Fiber optic,No,93.35,Electronic check,Yes,0
No,50,Month-to-month,Fiber optic,Yes,109.65,Bank transfer (automatic),Yes,0
No,72,Two year,DSL,Yes,89.7,Credit card (automatic),No,0
No,46,Month-to-month,Fiber optic,No,84.25,Mailed check,No,0
No,72,Two year,DSL,Yes,92.65,Bank transfer (automatic),No,0
No,1,Month-to-month,No,No internet service,19.7,Mailed check,No,0
No,1,Month-to-month,DSL,No,50.1,Electronic check,Yes,0
No,67,Two year,Fiber optic,Yes,92.45,Bank transfer (automatic),Yes,1
No,48,Two year,DSL,Yes,79.65,Electronic check,No,0
No,72,Two year,Fiber optic,Yes,109.9,Electronic check,Yes,0
No,52,One year,DSL,Yes,81.4,Credit card (automatic),Yes,0
No,67,One year,DSL,No,50.55,Credit card (automatic),No,0
Yes,28,Month-to-month,Fiber optic,No,81.05,Electronic check,Yes,0
No,32,Month-to-month,DSL,No,62.45,Bank transfer (automatic),No,0
Yes,27,Month-to-month,Fiber optic,No,75.2,Bank transfer (automatic),Yes,1
No,3,Month-to-month,Fiber optic,No,90.4,Electronic check,No,0
Yes,2,Month-to-month,Fiber optic,No,85.65,Electronic check,Yes,0
Yes,9,Month-to-month,DSL,Yes,72.9,Mailed check,Yes,0
No,50,Two year,DSL,Yes,70.5,Credit card (automatic),Yes,0
No,71,Two year,No,No internet service,20.1,Bank transfer (automatic),No,0
Yes,32,Month-to-month,Fiber optic,No,74.9,Electronic check,Yes,1
No,16,Month-to-month,Fiber optic,No,100.7,Bank transfer (automatic),No,0
No,67,Two year,Fiber optic,Yes,105.65,Bank transfer (automatic),Yes,0
No,72,Two year,Fiber optic,Yes,114.3,Credit card (automatic),Yes,0
Yes,3,Month-to-month,No,No internet service,19.75,Electronic check,No,0
No,23,One year,No,No internet service,24.35,Mailed check,No,0
No,72,Two year,DSL,Yes,69.85,Bank transfer (automatic),No,0
No,7,Month-to-month,DSL,No,58.85,Mailed check,No,0
No,8,Month-to-month,DSL,No,54.4,Electronic check,Yes,0
No,66,Two year,DSL,Yes,50.55,Bank transfer (automatic),No,0
Yes,5,Month-to-month,No,No internet service,21.05,Mailed check,No,0
Yes,49,Month-to-month,Fiber optic,No,103.7,Bank transfer (automatic),Yes,0
No,63,Two year,No,No internet service,19.95,Bank transfer (automatic),Yes,0
No,12,Month-to-month,DSL,Yes,29.3,Mailed check,Yes,1
No,27,Month-to-month,DSL,No,54.75,Credit card (automatic),Yes,0
No,35,Month-to-month,DSL,No,60.55,Electronic check,No,0
No,54,Month-to-month,DSL,Yes,86.2,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,95.45,Electronic check,Yes,0
No,5,Month-to-month,DSL,Yes,63.95,Credit card (automatic),Yes,0
No,19,One year,DSL,Yes,65.35,Bank transfer (automatic),Yes,0
No,52,Two year,DSL,Yes,50.2,Mailed check,No,0
No,72,Two year,DSL,Yes,63.8,Bank transfer (automatic),Yes,0
No,32,Two year,No,No internet service,20.05,Bank transfer (automatic),Yes,0
Yes,8,Month-to-month,Fiber optic,No,101.15,Electronic check,No,0
No,41,One year,DSL,No,65.0,Mailed check,No,0
No,5,Month-to-month,No,No internet service,19.25,Mailed check,Yes,0
No,11,One year,DSL,Yes,36.05,Mailed check,Yes,0
Yes,5,Month-to-month,Fiber optic,Yes,96.1,Electronic check,Yes,0
No,16,One year,No,No internet service,19.05,Mailed check,No,0
No,71,One year,Fiber optic,Yes,105.75,Bank transfer (automatic),No,1
No,11,One year,DSL,Yes,40.4,Credit card (automatic),Yes,0
Yes,61,Month-to-month,Fiber optic,No,99.15,Electronic check,Yes,0
No,71,One year,DSL,Yes,84.8,Bank transfer (automatic),Yes,0
No,9,Month-to-month,No,No internet service,19.85,Mailed check,No,0
No,6,Month-to-month,DSL,No,49.45,Electronic check,Yes,0
Yes,26,Month-to-month,Fiber optic,No,88.8,Bank transfer (automatic),Yes,0
No,6,Month-to-month,DSL,No,55.15,Mailed check,No,0
No,11,Month-to-month,Fiber optic,No,84.8,Electronic check,No,0
Yes,1,Month-to-month,Fiber optic,No,80.55,Electronic check,Yes,0
No,49,Two year,No,No internet service,20.15,Bank transfer (automatic),Yes,0
No,3,Month-to-month,DSL,No,58.7,Credit card (automatic),Yes,0
No,53,Two year,Fiber optic,Yes,99.5,Mailed check,No,0
Yes,23,Month-to-month,Fiber optic,Yes,99.85,Electronic check,Yes,0
Yes,2,Month-to-month,DSL,No,45.35,Electronic check,No,0
Yes,1,Month-to-month,DSL,No,48.55,Mailed check,Yes,0
No,3,Two year,No,No internet service,26.4,Mailed check,Yes,0
Yes,68,Month-to-month,Fiber optic,No,100.2,Electronic check,Yes,1
Yes,8,Month-to-month,Fiber optic,No,94.7,Electronic check,Yes,0
No,70,One year,Fiber optic,No,97.65,Electronic check,Yes,0
No,39,One year,Fiber optic,No,100.0,Electronic check,No,0
Yes,1,Month-to-month,Fiber optic,No,70.1,Electronic check,Yes,0
Yes,3,Month-to-month,Fiber optic,Yes,97.9,Electronic check,Yes,0
No,60,One year,Fiber optic,No,102.5,Bank transfer (automatic),No,0
Yes,5,Month-to-month,Fiber optic,No,69.95,Electronic check,No,0
Yes,3,Month-to-month,Fiber optic,No,81.35,Electronic check,Yes,1
No,55,One year,DSL,Yes,66.05,Credit card (automatic),Yes,0
No,72,Two year,DSL,Yes,61.2,Credit card (automatic),Yes,0
No,72,Two year,DSL,Yes,74.4,Bank transfer (automatic),No,1
Yes,41,Month-to-month,Fiber optic,No,106.3,Electronic check,Yes,0
No,60,Two year,DSL,No,39.6,Bank transfer (automatic),No,0
Yes,6,Month-to-month,Fiber optic,No,89.3,Electronic check,No,0
No,46,Two year,Fiber optic,Yes,108.9,Credit card (automatic),Yes,0
No,15,Month-to-month,No,No internet service,19.9,Mailed check,No,0
Yes,58,Month-to-month,Fiber optic,Yes,102.1,Credit card (automatic),Yes,0
No,23,Two year,No,No internet service,19.6,Credit card (automatic),No,0
Yes,31,Month-to-month,Fiber optic,Yes,98.9,Electronic check,Yes,1
No,11,Month-to-month,DSL,No,45.9,Bank transfer (automatic),Yes,0
No,56,Two year,Fiber optic,Yes,99.9,Bank transfer (automatic),Yes,1
No,25,Month-to-month,No,No internet service,20.05,Credit card (automatic),No,0
No,68,Two year,DSL,Yes,64.35,Credit card (automatic),No,0
No,40,Two year,No,No internet service,19.65,Credit card (automatic),No,0
Yes,36,Month-to-month,Fiber optic,No,84.9,Electronic check,Yes,0
Yes,32,Month-to-month,Fiber optic,Yes,108.15,Credit card (automatic),Yes,0
No,71,Two year,DSL,Yes,86.85,Bank transfer (automatic),No,0
No,17,Month-to-month,Fiber optic,No,102.55,Electronic check,Yes,0
No,18,Month-to-month,Fiber optic,Yes,78.2,Electronic check,No,0
No,37,Month-to-month,Fiber optic,No,91.2,Bank transfer (automatic),No,0
No,2,Month-to-month,No,No internet service,19.35,Mailed check,No,0
No,28,One year,Fiber optic,No,70.4,Bank transfer (automatic),Yes,0
No,9,One year,DSL,No,39.55,Mailed check,No,0
No,1,Month-to-month,DSL,No,50.15,Electronic check,No,0
No,65,Two year,No,No internet service,20.4,Credit card (automatic),Yes,0
No,3,Month-to-month,DSL,No,44.6,Electronic check,No,0
Yes,1,Month-to-month,DSL,No,34.7,Electronic check,Yes,0
No,36,Month-to-month,Fiber optic,No,93.6,Electronic check,Yes,0
Yes,23,Month-to-month,Fiber optic,Yes,90.6,Electronic check,Yes,0
No,22,Month-to-month,DSL,Yes,57.95,Mailed check,Yes,0
No,72,Two year,Fiber optic,Yes,112.1,Credit card (automatic),No,0
Yes,17,Month-to-month,Fiber optic,No,88.25,Electronic check,No,0
Yes,3,Month-to-month,Fiber optic,Yes,85.8,Electronic check,No,0
Yes,58,One year,DSL,No,60.3,Credit card (automatic),No,0
No,67,Two year,DSL,No,81.35,Credit card (automatic),No,0
No,34,One year,Fiber optic,No,99.85,Electronic check,Yes,1
No,10,Month-to-month,No,No internet service,20.0,Credit card (automatic),No,0
No,69,Two year,DSL,Yes,85.35,Credit card (automatic),Yes,0
No,40,One year,DSL,No,62.05,Credit card (automatic),No,0
No,20,Month-to-month,DSL,No,64.4,Credit card (automatic),No,0
No,46,Two year,No,No internet service,19.4,Mailed check,No,0
Yes,2,Month-to-month,Fiber optic,No,74.4,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,70.45,Mailed check,Yes,1
No,72,Two year,Fiber optic,No,105.0,Credit card (automatic),Yes,0
No,70,Two year,No,No internet service,25.15,Credit card (automatic),No,0
No,2,Month-to-month,No,No internet service,19.3,Mailed check,No,0
No,23,Month-to-month,DSL,Yes,55.3,Bank transfer (automatic),Yes,0
No,36,Month-to-month,Fiber optic,No,95.4,Electronic check,Yes,0
Yes,59,Month-to-month,Fiber optic,No,93.85,Bank transfer (automatic),Yes,1
No,67,Two year,No,No internet service,20.5,Bank transfer (automatic),No,0
No,72,Two year,Fiber optic,No,105.55,Bank transfer (automatic),Yes,0
Yes,37,Month-to-month,Fiber optic,No,101.9,Bank transfer (automatic),Yes,0
No,72,Two year,No,No internet service,24.45,Bank transfer (automatic),No,0
No,72,Two year,No,No internet service,19.7,Credit card (automatic),No,0
Yes,3,Month-to-month,Fiber optic,No,74.4,Electronic check,Yes,0
Yes,54,One year,Fiber optic,No,101.5,Credit card (automatic),Yes,1
Yes,60,Month-to-month,Fiber optic,No,95.75,Electronic check,Yes,0
No,58,One year,Fiber optic,No,110.65,Credit card (automatic),Yes,0
No,31,Month-to-month,Fiber optic,No,83.85,Bank transfer (automatic),Yes,0
No,3,Month-to-month,DSL,No,60.25,Electronic check,Yes,0
No,55,Two year,DSL,Yes,59.2,Electronic check,Yes,0
Yes,1,Month-to-month,DSL,No,44.4,Mailed check,No,0
No,49,Month-to-month,Fiber optic,No,85.3,Credit card (automatic),Yes,0
Yes,8,Month-to-month,DSL,No,25.5,Mailed check,No,0
No,39,Month-to-month,Fiber optic,No,99.75,Electronic check,Yes,1
No,66,Two year,DSL,No,66.1,Credit card (automatic),Yes,0
No,15,One year,No,No internet service,20.55,Mailed check,No,0
No,51,One year,Fiber optic,No,98.85,Electronic check,Yes,0
No,9,Month-to-month,DSL,Yes,49.2,Mailed check,No,1
Yes,1,Month-to-month,No,No internet service,20.9,Mailed check,No,0
No,25,One year,No,No internet service,19.5,Bank transfer (automatic),Yes,0
No,22,Month-to-month,Fiber optic,No,87.0,Bank transfer (automatic),Yes,0
No,15,Month-to-month,DSL,No,49.0,Electronic check,Yes,0
Yes,28,One year,Fiber optic,No,90.1,Bank transfer (automatic),Yes,0
No,3,Month-to-month,Fiber optic,No,90.7,Mailed check,No,0
No,47,Month-to-month,Fiber optic,No,100.5,Electronic check,Yes,0
No,67,Two year,DSL,Yes,85.25,Mailed check,Yes,0
No,18,Month-to-month,Fiber optic,No,74.7,Electronic check,Yes,1
No,62,Two year,DSL,Yes,60.15,Credit card (automatic),Yes,0
No,41,One year,DSL,No,80.55,Electronic check,Yes,0
No,44,Month-to-month,DSL,No,50.15,Mailed check,Yes,0
No,53,One year,Fiber optic,Yes,94.45,Credit card (automatic),Yes,0
No,48,Two year,No,No internet service,20.05,Mailed check,Yes,0
No,54,One year,Fiber optic,Yes,115.6,Bank transfer (automatic),Yes,1
Yes,48,Month-to-month,DSL,No,45.3,Bank transfer (automatic),Yes,0
No,24,Month-to-month,Fiber optic,No,99.65,Bank transfer (automatic),Yes,0
No,33,Two year,Fiber optic,Yes,80.6,Bank transfer (automatic),No,0
No,66,Two year,DSL,Yes,85.25,Electronic check,No,0
No,3,Month-to-month,Fiber optic,No,69.55,Electronic check,Yes,0
No,13,Two year,DSL,Yes,35.4,Mailed check,No,0
No,63,Two year,DSL,No,83.5,Credit card (automatic),No,0
Yes,23,Month-to-month,Fiber optic,Yes,83.8,Electronic check,No,0
No,52,Two year,No,No internet service,25.6,Credit card (automatic),No,0
No,3,Month-to-month,No,No internet service,20.75,Credit card (automatic),Yes,0
No,10,Month-to-month,DSL,No,56.75,Bank transfer (automatic),Yes,0
No,72,Two year,No,No internet service,20.1,Bank transfer (automatic),No,0
No,29,Month-to-month,Fiber optic,Yes,98.8,Credit card (automatic),Yes,0
No,62,One year,Fiber optic,No,104.85,Electronic check,Yes,1
Yes,41,One year,DSL,No,73.0,Electronic check,Yes,0
Yes,43,Month-to-month,Fiber optic,No,77.85,Electronic check,Yes,0
No,26,Two year,Fiber optic,Yes,105.45,Electronic check,Yes,0
No,19,Month-to-month,Fiber optic,No,96.8,Electronic check,Yes,0
No,72,Two year,No,No internet service,24.25,Credit card (automatic),No,0
No,45,One year,Fiber optic,No,102.15,Bank transfer (automatic),Yes,1
No,32,One year,DSL,No,64.85,Bank transfer (automatic),Yes,0
No,41,Month-to-month,No,No internet service,25.25,Bank transfer (automatic),Yes,0
No,65,Two year,No,No internet service,24.75,Credit card (automatic),No,0
Yes,55,Month-to-month,Fiber optic,No,96.75,Electronic check,Yes,0
No,11,Two year,No,No internet service,19.65,Mailed check,No,0
No,49,Two year,DSL,Yes,74.45,Bank transfer (automatic),Yes,0
No,61,Month-to-month,Fiber optic,Yes,99.4,Bank transfer (automatic),No,0
No,25,Month-to-month,No,No internet service,19.15,Mailed check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,69.5,Electronic check,Yes,0
No,23,One year,DSL,Yes,49.45,Electronic check,Yes,0
No,21,Month-to-month,Fiber optic,No,73.7,Electronic check,Yes,0
Yes,1,Month-to-month,Fiber optic,No,79.7,Electronic check,Yes,0
Yes,5,Month-to-month,Fiber optic,No,79.9,Bank transfer (automatic),Yes,1
No,24,One year,DSL,Yes,74.4,Bank transfer (automatic),No,0
Yes,27,Month-to-month,Fiber optic,No,88.3,Credit card (automatic),No,1
No,70,Two year,No,No internet service,19.8,Bank transfer (automatic),No,0
Yes,5,Month-to-month,Fiber optic,No,75.55,Credit card (automatic),Yes,1
No,46,Two year,No,No internet service,20.2,Mailed check,Yes,0
No,2,Month-to-month,Fiber optic,No,71.65,Electronic check,Yes,0
No,57,Two year,No,No internet service,20.1,Bank transfer (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,71.1,Mailed check,No,0
No,60,One year,Fiber optic,No,100.5,Credit card (automatic),Yes,1
No,37,Two year,DSL,Yes,62.8,Credit card (automatic),Yes,0
Yes,1,Month-to-month,Fiber optic,No,70.45,Mailed check,Yes,0
No,28,One year,Fiber optic,No,100.35,Bank transfer (automatic),No,0
No,24,Month-to-month,No,No internet service,20.3,Mailed check,Yes,1
No,62,One year,Fiber optic,No,92.05,Electronic check,Yes,0
Yes,18,One year,No,No internet service,20.15,Bank transfer (automatic),No,0
Yes,5,Month-to-month,DSL,Yes,54.2,Electronic check,No,0
No,20,Month-to-month,No,No internet service,20.35,Mailed check,No,0
Yes,1,Month-to-month,Fiber optic,No,70.75,Mailed check,No,0
Yes,35,One year,Fiber optic,No,102.35,Bank transfer (automatic),Yes,0
No,52,Month-to-month,DSL,Yes,50.5,Electronic check,Yes,1
Yes,30,Month-to-month,Fiber optic,No,85.0,Electronic check,Yes,0
No,72,Two year,DSL,No,42.1,Bank transfer (automatic),No,0
Yes,15,Month-to-month,Fiber optic,No,75.65,Electronic check,No,1
No,70,Two year,Fiber optic,Yes,114.6,Electronic check,Yes,0
No,66,Two year,DSL,Yes,65.7,Bank transfer (automatic),No,0
No,55,Month-to-month,Fiber optic,No,74.0,Electronic check,Yes,1
Yes,55,Month-to-month,Fiber optic,No,85.45,Electronic check,Yes,1
No,57,One year,DSL,No,71.1,Credit card (automatic),Yes,1
No,72,Two year,Fiber optic,No,109.55,Electronic check,Yes,0
No,28,Month-to-month,No,No internet service,20.5,Mailed check,No,0
No,54,Two year,DSL,No,74.55,Bank transfer (automatic),Yes,0
No,24,Month-to-month,Fiber optic,No,79.85,Electronic check,Yes,1
No,2,Month-to-month,DSL,No,62.15,Mailed check,Yes,0
No,12,Month-to-month,No,No internet service,21.05,Credit card (automatic),No,0
No,51,One year,Fiber optic,No,79.6,Bank transfer (automatic),Yes,1
No,13,Month-to-month,DSL,Yes,73.35,Mailed check,No,0
No,58,Two year,DSL,Yes,70.1,Bank transfer (automatic),No,0
No,18,One year,DSL,Yes,54.4,Credit card (automatic),Yes,0
No,29,Two year,No,No internet service,19.55,Mailed check,Yes,0
No,72,Two year,DSL,Yes,74.55,Mailed check,No,0
No,71,Two year,No,No internet service,23.9,Credit card (automatic),No,0
No,70,Two year,DSL,Yes,44.6,Bank transfer (automatic),Yes,0
Yes,9,Month-to-month,Fiber optic,No,95.5,Electronic check,Yes,0
No,20,Month-to-month,Fiber optic,Yes,95.5,Bank transfer (automatic),Yes,0
Yes,69,One year,DSL,Yes,78.6,Credit card (automatic),Yes,0
No,63,One year,Fiber optic,Yes,104.5,Credit card (automatic),No,0
No,7,Month-to-month,DSL,No,61.4,Electronic check,No,0
No,69,Two year,DSL,No,43.95,Credit card (automatic),Yes,0
Yes,5,Month-to-month,No,No internet service,25.9,Bank transfer (automatic),Yes,0
No,9,Month-to-month,Fiber optic,No,80.55,Electronic check,No,0
No,46,Two year,Fiber optic,Yes,99.65,Mailed check,No,0
No,60,One year,Fiber optic,No,97.95,Electronic check,Yes,1
Yes,27,Month-to-month,Fiber optic,No,95.55,Electronic check,Yes,1
No,16,Month-to-month,Fiber optic,No,90.7,Electronic check,No,0
